來源,編號,族,格,窗,資料,年化中位,回落中位,進前緣,註,比值,混0050族,前緣_主窗,前緣_含舊窗（窗不同、只供參考）,措辭
PREREGV 17 格（resultsN17/regime_t1/all17.csv）,#1,PREREG10,AND｜regime=True｜N10｜H120（t−1 閘）,主窗,edc6f,0.394406557221616,-0.3894268315113051,True,t−1 版,1.0127873205114948,False,True,True,前緣是在同一段看完結果畫出來的，是這段歷史的最優，不是往後的最優
PREREGV 17 格（resultsN17/regime_t1/all17.csv）,#13,P1,AND｜N20｜d=inf｜relvol,主窗,edc6f,0.3612317362788622,-0.32131436013029513,True,,1.1242315349129752,False,True,True,前緣是在同一段看完結果畫出來的，是這段歷史的最優，不是往後的最優
resultsN219/table219.csv,219,P14,w=0.25,主窗,舊快照,0.251811444969331,-0.3144239936121483,True,,0.800865869288424,True,True,False,前緣是在同一段看完結果畫出來的，是這段歷史的最優，不是往後的最優｜混 0050 族的假訊號也常過
resultsN219/table219.csv,219,PREREG10／研究十三,AND｜regime=True｜N10｜H120,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.4446171561904553,-0.4031964232308375,False,已有主窗重跑版（#1）,1.1027309037806212,False,False,False,
resultsN219/table219.csv,219,P3 乙臂（閒置放 0050）,N≤8｜N8｜d=1.0｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.4094689846338495,-0.4049919738089181,False,已有主窗重跑版（#2）,1.0110545667925848,False,False,False,
rerun17.csv 主窗（原版）,#1,PREREG10,AND｜regime=True｜N10｜H120（原版：進場日收盤判閘）,主窗,edc6f,0.405277675071815,-0.3908384709555651,False,含日內前視、不進前緣,1.0369441730773006,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N8｜d=1.0｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.4044783372406753,-0.4016933288521341,False,已有主窗重跑版（#3）,1.0069331706267055,False,False,False,
resultsN219/table219.csv,219,P3 乙臂（閒置放 0050）,主格｜N40｜d=inf｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3681790809396463,-0.3319007689758964,True,,1.109304693917068,False,False,True,
resultsN219/table219.csv,219,P3 乙臂（閒置放 0050）,主格｜N40｜d=inf｜null,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3543996819775005,-0.3370871939116945,True,,1.0513590797232757,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N20｜d=inf｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3500940666982239,-0.3169750973808795,False,已有主窗重跑版（#13）,1.1044844519049029,False,False,False,
resultsN219/table219.csv,219,P3 乙臂（閒置放 0050）,N≤8｜N8｜d=2.0｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3470918585888016,-0.4623739670310608,False,已有主窗重跑版（#10）,0.75067344473891,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N20｜d=inf｜null,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3468610816022462,-0.3268517340976916,False,已有主窗重跑版（#14）,1.0612184223522403,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N8｜d=2.0｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3458680410720658,-0.4325929341181826,False,已有主窗重跑版（#6）,0.7995230938690646,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N30｜d=inf｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3414952728145022,-0.3436426970693942,True,,0.9937509969709661,False,False,False,
resultsN219/table219.csv,219,PREREG10／研究十三,AND｜regime=False｜N20｜H60,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.3413495952671975,-0.3280437618214732,False,已有主窗重跑版（#15）,1.0405611537065762,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N40｜d=inf｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.33687393903265,-0.2613373653828703,True,,1.289038551908241,False,False,True,
resultsN219/table219.csv,219,P3 乙臂（閒置放 0050）,主格｜N30｜d=inf｜null,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3358115564447403,-0.3761722535618528,True,,0.8927068736863227,False,False,False,
resultsN219/table219.csv,219,PREREG10／研究十三,AND｜regime=True｜N20｜H120,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.335801104485725,-0.4149929206251856,False,已有主窗重跑版（#17）,0.809173091386334,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N10｜d=inf｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3341523859890154,-0.4446988844436075,False,已有主窗重跑版（#9）,0.7514126922245281,False,False,False,
resultsN219/table219.csv,219,PREREG10／研究十三,AND｜regime=False｜N10｜H120,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.3319277515028065,-0.4519481599195775,False,已有主窗重跑版（#12）,0.7344376655098492,False,False,False,
