r,D,lo,hi,CI不含0,b_30,b_38.2,b_45,b_50,b_55,b_61.8,b_70
0,0.010881020705932484,-0.0027355169811111944,0.02449755839297616,False,0.5235779234510467,0.5193879689792497,0.5073032483104426,0.5080703444953023,0.5038981288981289,0.5072379849449913,0.47494852436513385
1,-0.001284508658922101,-0.014618061966851397,0.012049044649007195,False,0.5306638566912539,0.5125566076574722,0.5201143108375467,0.501676245210728,0.4966529351184346,0.49971014492753624,0.4822404371584699
2,0.004193932368204298,-0.0074495474801364,0.015837412216544996,False,0.5282497875955819,0.5205366357069143,0.49327453142227123,0.5130251114761794,0.5014259787399533,0.49898226228554815,0.49931176875430144
3,0.0005344405579830319,-0.013525397493603389,0.014594278609569453,False,0.527678383498211,0.5136497270054599,0.5080750763858577,0.5070028011204482,0.5201446280991735,0.5033342997970426,0.4759322033898305
4,0.004674221283935673,-0.009709653069662172,0.019058095637533516,False,0.5281705001055075,0.5142075352557356,0.5163628376894356,0.49976053639846746,0.4884023977065416,0.5041371158392435,0.485056681552731
5,0.010571010557061139,-0.002783978270259505,0.023925999384381783,False,0.5188381393390865,0.5138372573316812,0.49570011025358324,0.5193594646271511,0.5037613488975357,0.5070382074116633,0.4811672887682389
6,0.0012169228664917486,-0.011970421325825337,0.014404267058808835,False,0.5224420336098703,0.5132505175983437,0.5098857644991213,0.5003515350363252,0.4865771812080537,0.4985490423679629,0.49982644914960084
7,0.0020362873520313324,-0.011031654268653285,0.01510422897271595,False,0.5114857744994731,0.5187642546133112,0.5137246150412854,0.508390451429922,0.49818652849740935,0.4896788990825688,0.48534423994546694
8,-0.004168114920463595,-0.01730100186814606,0.008964772027218867,False,0.5276371308016877,0.5172556313287869,0.5067642492792194,0.5060383613544873,0.5047230022976767,0.48276852383687535,0.47759638763459533
9,0.0012035721372169045,-0.011154430106395666,0.013561574380829475,False,0.5325833156442369,0.5162771285475793,0.5028684907325685,0.49976110845676064,0.5001309243257397,0.5007240081088908,0.49360525406152783
10,-0.0035499917378254003,-0.017182627444217155,0.010082643968566354,False,0.5274979009235936,0.5009268795056643,0.5142543859649122,0.5114068441064639,0.49547218628719275,0.49928057553956834,0.47739040386606835
11,0.009504461241326936,-0.00400952762221426,0.02301845010486813,False,0.5299270072992701,0.5263484190948543,0.5001090988435523,0.5026041666666666,0.508663046289113,0.5038189533239038,0.483617747440273
12,0.0026361884779748795,-0.011166149701426358,0.016438526657376117,False,0.5285594288114238,0.5254130934950847,0.516079295154185,0.5206493196466937,0.4928217175672148,0.4841549295774648,0.4711308507003758
13,-0.009865608380088223,-0.024323267630077156,0.004592050869900711,False,0.5175785313085084,0.5101997896950579,0.4986642920747996,0.5127962085308057,0.5089078233927188,0.47609447004608296,0.4869003062266077
14,0.017911757907343284,0.003595316665738691,0.03222819914894788,True,0.5178459611772073,0.525129265770424,0.50814619110524,0.5056179775280899,0.4943152454780362,0.5136518771331058,0.48560785641720283
15,0.0018343641388137988,-0.01074615256620172,0.014414880843829317,False,0.5269181856718949,0.5196542498456472,0.5074496056091148,0.5123268372857478,0.4948533196088523,0.49262366213479897,0.487997256515775
16,-0.003813998343714528,-0.01595318127120975,0.008325184583780693,False,0.5188048474717927,0.5106159344124448,0.5082368655387355,0.5048658912888678,0.504,0.48583114227286006,0.4771084337349398
17,-0.00058733671161873,-0.013851246734412286,0.012676573311174825,False,0.529955854530166,0.5188974733764878,0.5105726872246696,0.4983451536643026,0.4952697519815904,0.49449594438006955,0.49333788862316363
18,0.003115561381903942,-0.010246299303711256,0.01647742206751914,False,0.5208376963350785,0.5217746882028215,0.5086870464042226,0.5087305332704106,0.5043927648578811,0.496242774566474,0.4896551724137931
19,0.008825476745382616,-0.0036726014533211126,0.021323554944086345,False,0.5197147651006712,0.5134745937049989,0.5045203969128996,0.49774185880675065,0.5086007702182285,0.5107122177185871,0.4802357836338419
20,0.006088235762857108,-0.010258946357371339,0.022435417883085555,False,0.5231316725978647,0.5180095773474912,0.5205329838357361,0.5,0.49300155520995337,0.5,0.475
21,-0.00033826828731947645,-0.01290391140145261,0.012227374826813657,False,0.5161896803843743,0.5161357921207042,0.5167640060566732,0.5114684322534878,0.4992179353493222,0.4934229757380883,0.48829898707649316
22,0.014169770970601667,0.0006935983323073831,0.02764594360889595,True,0.5226109215017065,0.5247235551846443,0.512694877505568,0.49528301886792453,0.4945369406867846,0.5089285714285714,0.4807824296499657
23,-0.001760997912329032,-0.014015737897731046,0.010493742073072982,False,0.5165209976550842,0.5127725856697819,0.5128712871287129,0.5044016178919819,0.5003845167905665,0.49007009345794394,0.48295254833040424
24,0.006433305039371298,-0.007491109720214356,0.020357719798956952,False,0.5251256281407035,0.5223819301848049,0.5089715536105033,0.509380194728093,0.4962657738861705,0.49827784156142363,0.4852233676975945
25,0.004175205369390825,-0.00838227038785936,0.01673268112664101,False,0.5282819755170958,0.5198851988519885,0.4974708599076314,0.5125748502994012,0.49157303370786515,0.4871281464530893,0.48
26,-0.0014516426527166754,-0.014076650169244469,0.011173364863811118,False,0.5161424703186837,0.5150564617314931,0.49945805332755255,0.5124732715609408,0.5155474261823882,0.4910352805089647,0.4868421052631579
27,0.0073948862545824,-0.005717582089946067,0.020507354599110867,False,0.53125,0.5247776365946633,0.5019797624285086,0.5121660305343512,0.5069064373208235,0.49684089603676046,0.4735213204951857
28,0.014238407111420326,0.0016624043136573199,0.02681440990918333,True,0.5232509426057813,0.5214762301918265,0.5004476275738585,0.5078496669838249,0.48895169578622816,0.4969818913480885,0.46731234866828086
29,-0.0020748315310836762,-0.014562047493552865,0.010412384431385513,False,0.5321234876929495,0.5219632914002887,0.5049201836868576,0.5061904761904762,0.4923469387755102,0.4872905834777585,0.49741646572511194
