r,a,b,D,lo,hi,n_min,CI不含0
0,0.3369453761366352,0.7143427884532467,0.0026696318600573643,-0.005059593964368356,0.010398857684483086,2872,False
1,0.7358060863926945,0.3972024688475752,0.0011430678032418318,-0.00785633748666793,0.010142473093151593,2711,False
2,0.2987593303600672,0.4503422959716001,-0.0019136662725101339,-0.010917638079376868,0.0070903055343566005,4335,False
3,0.5152043488576917,0.2771776884259693,-0.0013354717443683772,-0.009702747088443419,0.007031803599706664,3713,False
4,0.42512417924758544,0.6423608668300106,0.007002573214811569,-0.001653835551597661,0.0156589819812208,3350,False
5,0.32862983496989095,0.4437251691093248,0.0018904994831709931,-0.005009453090571179,0.008790452056913166,4960,False
6,0.41209881235873075,0.5138925916091555,0.00039172946079041315,-0.005890334731717464,0.00667379365329829,4389,False
7,0.7317709870997637,0.35906310909848616,0.008407508693939414,0.00025791400789374093,0.01655710337998509,2744,True
8,0.6764635240063419,0.409073701677245,0.010664132211340327,0.002067635029885868,0.019260629392794784,3114,True
9,0.5077917837405517,0.6251089722756116,-0.0012233621476051837,-0.0077303482926036,0.0052836239973932326,3473,False
10,0.460296824233008,0.2888729455630505,-0.0008216287589758731,-0.00957546967839413,0.007932212160442384,4085,False
11,0.3574047509857127,0.5415868779589872,0.0065630506093297125,-0.0005647305083688863,0.013690831727028311,4195,False
12,0.404332770298428,0.6977716687882909,0.005593679986242495,-0.0028183627288776627,0.014005722701362652,2980,False
13,0.3695855720198373,0.7380533922901229,0.0066037231730985135,-0.0009208329418830307,0.014128279288080057,2709,False
14,0.4310355970030425,0.2555690896857345,0.004504735224782924,-0.005249453194895339,0.014258923644461187,3041,False
15,0.49864645029418864,0.3020087906135249,-0.0019855217651028323,-0.010837957931377876,0.006866914401172212,4435,False
16,0.5656681392762075,0.25368994565171743,0.0021921607058109915,-0.006955323190798873,0.011339644602420856,2987,False
17,0.4756619692014759,0.6932020991869983,7.924168784462227e-05,-0.007989732507113448,0.008148215882802692,2998,False
18,0.5848024532277811,0.2679869592448492,-0.0025184555596867164,-0.01278843859252566,0.007751527473152227,3461,False
19,0.4102776033065517,0.6114832506366186,0.005939713413264991,-0.002302724014045141,0.014182150840575123,3588,False
20,0.5249106316130079,0.32207240216527705,0.0016873722454212037,-0.00655043944879803,0.009925183939640437,4323,False
21,0.5870044829922443,0.44774293819758854,-0.0018810672121223337,-0.009977170263767769,0.006215035839523101,3815,False
22,0.726407147788517,0.5247795614372114,0.0012302139703959103,-0.008121179648280866,0.010581607589072686,2776,False
23,0.46684811062527143,0.6302728994113738,7.685091570630576e-05,-0.007881504918981912,0.008035206750394524,3433,False
24,0.46616846404466744,0.2892718409764497,-0.001131885480709388,-0.009915483155964846,0.00765171219454607,4091,False
25,0.46483727328281693,0.6313043814822372,-0.0007653394695857629,-0.008802906703474183,0.007272227764302657,3419,False
26,0.3050340555478937,0.4813116300639442,-0.005022194250953488,-0.014335210395787295,0.004290821893880319,4484,False
27,0.3239679852297943,0.4602816349236015,0.002690688504272537,-0.005735185073473087,0.011116562082018161,4813,False
28,0.6376072465866833,0.4992387220829794,0.0006747271793912379,-0.007336866485222878,0.008686320844005354,3377,False
29,0.7063117533279493,0.560444455085247,0.0029227811598075137,-0.004739888180068107,0.010585450499683135,2925,False
30,0.4706093806619029,0.3550063256370483,0.004894361830188154,-0.0020694470093814577,0.011858170669757766,4708,False
31,0.6162110040747107,0.30847826963609437,0.000513128831759857,-0.00845453505065503,0.009480792714174744,3539,False
