date,open,high,low,close,volume
2026-01-23,0.0,198.0,83.5,151.0,1434628
2026-01-26,150.16,164.0,136.5,154.5,1285622
2026-01-27,148.97,155.0,138.5,142.0,811241
2026-01-28,144.01,146.0,135.5,142.5,629775
2026-01-29,140.13,166.0,142.5,155.0,874641
2026-01-30,152.18,159.0,139.5,146.0,488688
2026-02-02,145.07,148.0,138.0,138.5,310106
2026-02-03,140.14,144.0,124.5,131.5,655188
2026-02-04,131.08,131.5,111.0,117.5,365288
2026-02-05,116.43,120.0,110.5,113.5,232770
2026-02-06,114.58,113.0,99.1,102.5,430216
2026-02-09,101.92,118.5,100.0,112.0,334378
2026-02-10,109.03,113.5,100.0,103.5,230597
2026-02-11,105.06,104.0,95.1,99.9,234493
2026-02-23,99.94,100.5,94.1,96.9,212582
2026-02-24,96.79,110.0,89.8,102.5,607934
2026-02-25,95.08,104.0,95.0,99.4,227918
2026-02-26,98.01,99.4,90.1,96.7,187581
2026-03-02,92.67,96.5,91.6,94.9,101843
2026-03-03,92.74,94.9,89.0,90.4,121905
2026-03-04,90.64,91.9,84.1,87.9,139147
2026-03-05,86.28,89.3,80.0,82.2,164592
2026-03-06,83.76,93.5,77.0,88.3,281478
2026-03-09,83.78,88.0,83.1,86.2,94071
2026-03-10,84.53,86.2,80.0,84.0,153898
2026-03-11,82.55,85.2,81.0,84.2,80188
2026-03-12,83.5,84.2,79.1,81.3,72943
2026-03-13,80.79,82.3,80.0,81.7,103518
2026-03-16,81.14,83.0,80.0,82.2,112933
2026-03-17,81.08,101.0,80.1,100.0,327699
2026-03-18,89.52,103.0,93.2,96.0,419434
2026-03-19,98.38,100.0,87.5,99.9,229929
2026-03-20,91.45,106.0,95.1,99.0,345860
2026-03-23,99.91,119.5,95.0,117.5,1089538
2026-03-24,110.04,126.0,99.8,111.5,936926
2026-03-25,109.61,111.5,103.5,109.5,303007
2026-03-26,106.19,138.5,106.5,131.0,1454893
2026-03-27,123.31,131.0,114.0,125.0,672342
2026-03-30,122.88,126.0,112.0,118.0,536520
2026-03-31,117.79,119.0,105.5,110.5,383472
2026-04-01,111.45,119.5,108.0,117.5,339242
2026-04-02,112.73,118.0,106.5,112.5,256401
2026-04-07,110.83,113.0,99.8,106.5,470535
2026-04-08,103.65,107.0,98.0,101.0,232107
2026-04-09,100.46,101.0,95.6,95.6,198200
2026-04-10,97.87,107.5,93.6,105.5,238509
2026-04-13,99.66,107.5,95.1,106.0,354386
2026-04-14,101.33,111.0,103.0,110.0,394705
2026-04-15,106.67,123.0,110.0,117.0,698100
2026-04-16,116.57,117.5,102.0,110.0,322862
2026-04-17,108.88,123.0,106.0,119.5,506712
2026-04-20,112.87,125.0,115.5,120.0,597974
2026-04-21,120.11,138.0,116.5,129.0,1054039
2026-04-22,126.81,134.5,116.0,123.0,684487
2026-04-23,123.73,129.0,101.0,118.0,598648
2026-04-24,113.02,117.5,103.5,107.5,273922
2026-04-27,108.24,110.0,99.5,102.0,321434
2026-04-28,102.16,105.0,99.0,104.0,210236
2026-04-29,101.4,104.5,99.1,101.5,121881
2026-04-30,100.53,126.0,100.5,124.5,1089968
2026-05-04,118.71,154.0,124.0,150.0,2616565
2026-05-05,142.54,153.5,136.0,143.0,1112807
2026-05-06,141.5,148.5,133.0,139.5,934688
2026-05-07,139.45,140.5,124.0,132.5,801488
2026-05-08,129.77,131.5,117.0,122.5,615695
2026-05-11,122.18,124.0,117.5,117.5,395209
2026-05-12,119.94,120.5,113.5,116.0,469518
2026-05-13,115.18,116.0,107.5,111.0,454672
2026-05-14,109.55,126.0,111.0,124.5,551095
2026-05-15,120.51,124.5,109.5,113.5,297676
2026-05-18,114.82,121.5,107.0,118.0,257496
2026-05-19,114.67,118.0,114.5,116.5,182131
2026-05-20,116.19,117.5,111.5,117.5,199149
2026-05-21,114.03,119.5,117.0,119.0,467913
2026-05-22,118.31,125.0,115.5,124.5,814880
2026-05-25,120.91,126.5,119.5,126.0,815896
2026-05-26,123.47,126.5,122.0,125.5,294585
2026-05-27,123.9,126.5,120.0,122.5,483656
2026-05-28,124.22,125.0,114.5,117.5,490071
2026-05-29,117.76,125.0,114.5,123.0,707473
2026-06-01,119.17,127.0,120.5,121.5,454514
2026-06-02,123.26,121.0,117.0,119.0,202101
2026-06-03,119.35,120.5,117.0,118.0,286530
2026-06-04,118.61,118.5,114.0,116.5,184961
2026-06-05,115.31,117.5,110.0,113.0,249037
2026-06-08,113.47,110.0,100.0,106.5,373486
2026-06-09,103.99,109.5,105.5,109.0,151182
2026-06-10,107.53,109.5,99.6,103.0,253719
2026-06-11,104.04,106.0,99.0,101.0,231624
2026-06-12,102.1,105.5,100.0,105.0,192533
2026-06-15,103.81,107.0,102.5,105.0,131449
2026-06-16,104.12,105.5,99.0,100.0,205868
2026-06-17,100.7,101.5,98.1,101.0,282203
2026-06-18,99.79,102.5,100.0,102.5,198880
2026-06-22,101.08,102.5,99.1,100.5,175848
2026-06-23,100.1,100.0,98.0,99.2,188566
2026-06-24,98.84,99.2,94.7,96.6,207334
2026-06-25,96.24,96.7,89.4,91.4,291940
2026-06-26,92.47,91.4,76.5,82.0,782097
2026-06-29,82.49,82.1,77.5,78.2,310197
2026-06-30,78.65,80.9,78.0,80.5,154187
2026-07-01,79.79,81.0,79.0,80.3,126022
2026-07-02,80.07,80.3,79.5,80.0,138091
2026-07-03,79.92,80.9,79.5,80.3,100214
2026-07-06,80.05,80.3,79.3,79.3,153373
2026-07-07,79.81,80.0,76.8,78.0,238569
2026-07-08,78.11,78.0,72.1,74.4,175226
2026-07-09,73.84,76.9,73.0,74.7,117887
2026-07-13,74.82,74.0,67.0,68.9,289982
2026-07-14,68.6,68.9,60.0,65.9,391446
2026-07-15,62.27,66.2,60.9,63.0,157239
2026-07-16,62.71,63.1,59.1,60.5,255222
2026-07-17,60.38,60.9,56.5,57.6,381900
2026-07-20,57.25,57.6,54.0,55.4,117877
2026-07-21,54.74,57.0,54.0,57.0,77573
2026-07-22,55.58,66.2,55.1,66.2,189626
2026-07-23,62.07,66.5,63.6,65.5,161002
2026-07-24,65.23,65.9,63.6,65.9,42646
2026-07-27,64.88,66.2,64.0,65.9,37220
2026-07-28,65.16,65.9,60.4,63.0,62082
2026-07-29,62.7,63.0,54.3,55.7,159937
2026-07-30,57.35,56.9,54.0,55.4,85060
2026-07-31,54.68,57.3,55.1,57.3,47031
2026-08-03,56.59,57.7,56.4,57.7,28863
2026-08-04,57.18,60.4,56.9,60.3,66739
2026-08-05,58.8,61.9,58.5,61.9,85455
2026-08-06,60.68,62.0,60.0,61.9,64516
2026-08-07,61.1,61.9,60.1,61.9,24276
2026-08-10,60.67,62.0,60.0,61.2,20633
2026-08-11,60.6,62.5,60.0,61.7,47799
2026-08-12,60.94,61.7,60.1,61.7,35995
2026-08-13,60.56,61.7,60.0,61.7,24807
2026-08-14,60.53,61.7,59.9,61.2,13499
2026-08-17,60.36,61.2,59.8,60.9,19567
2026-08-18,60.49,61.0,59.1,60.3,63618
2026-08-19,59.88,60.2,58.7,60.2,9560
2026-08-20,59.61,60.7,58.7,60.7,13908
2026-08-21,59.89,60.7,59.1,60.7,13608
2026-08-24,59.78,60.8,59.1,60.7,22906
2026-08-25,60.22,60.7,59.0,60.1,24618
2026-08-26,59.32,60.1,58.9,60.1,49524
2026-08-27,59.7,60.1,59.3,60.1,12794
2026-08-28,59.68,63.4,58.6,63.4,120091
2026-08-31,60.49,63.4,61.6,63.4,72055
2026-09-01,62.62,71.5,63.4,70.9,214207
