date,open,high,low,close,volume
2025-06-17,36.5,38.6,36.2,37.1,3930107
2025-06-18,36.3,36.95,35.6,36.15,1606315
2025-06-19,35.8,37.65,35.8,36.1,1191744
2025-06-20,36.0,36.0,34.3,34.95,795686
2025-06-23,33.95,35.15,33.5,34.75,390678
2025-06-24,35.1,36.5,35.1,36.25,627327
2025-06-25,36.35,36.6,35.8,36.1,378568
2025-06-26,36.2,36.7,36.0,36.05,386797
2025-06-27,36.1,36.6,35.4,35.7,408740
2025-06-30,35.9,35.9,34.6,34.7,480628
2025-07-01,35.3,35.6,34.4,34.45,381103
2025-07-02,34.5,34.5,34.15,34.2,402311
2025-07-03,34.7,35.2,34.4,34.45,319583
2025-07-04,34.5,36.3,34.45,34.75,1567219
2025-07-07,35.15,35.15,33.0,33.7,538572
2025-07-08,33.45,34.05,33.15,33.85,281190
2025-07-09,33.4,35.75,33.3,35.4,779325
2025-07-10,35.65,37.0,35.65,36.2,1343287
2025-07-11,35.95,36.5,35.5,35.75,495301
2025-07-14,36.0,36.0,34.7,34.7,352389
2025-07-15,34.9,35.5,34.85,35.45,234873
2025-07-16,35.5,36.1,35.3,35.4,359179
2025-07-17,35.4,35.75,35.15,35.35,248571
2025-07-18,35.8,36.3,35.3,35.95,688994
2025-07-21,36.1,38.35,35.45,35.45,3356952
2025-07-22,35.45,36.0,34.15,34.45,1008339
2025-07-23,34.7,35.35,34.3,34.5,579417
2025-07-24,34.55,36.5,34.45,35.65,1451534
2025-07-25,35.6,36.15,35.15,35.4,510703
2025-07-28,35.7,36.45,35.05,35.5,872322
2025-07-29,35.2,35.5,34.4,34.55,794438
2025-07-30,34.85,35.0,34.25,34.4,509176
2025-07-31,34.4,36.2,34.4,35.15,1164299
2025-08-01,34.75,35.8,34.25,35.35,592354
2025-08-04,35.35,35.35,34.45,34.55,998778
2025-08-05,34.9,34.95,34.4,34.4,706579
2025-08-06,34.55,34.55,33.7,33.85,883126
2025-08-07,34.55,34.55,33.75,33.95,399952
2025-08-08,34.0,34.35,33.65,33.8,522975
2025-08-11,33.65,33.85,33.3,33.6,422054
2025-08-12,33.95,35.0,33.9,34.65,785645
2025-08-13,35.0,35.75,34.5,35.0,1263161
2025-08-14,35.2,38.5,35.2,38.5,8687425
2025-08-15,39.5,41.1,38.6,39.1,14696789
2025-08-18,39.1,39.5,38.45,38.6,2232957
2025-08-19,38.6,38.6,36.8,36.9,1823985
2025-08-20,36.1,36.7,35.1,35.15,1369637
2025-08-21,35.25,36.0,35.25,35.5,578826
2025-08-22,35.5,36.0,34.95,34.95,647931
2025-08-25,35.7,36.6,35.6,35.9,723014
2025-08-26,36.0,36.95,35.8,36.9,686969
2025-08-27,37.2,39.65,36.95,39.0,2157874
2025-08-28,39.0,39.0,37.7,38.05,1345207
2025-08-29,38.35,39.45,38.1,38.45,917395
2025-09-01,38.55,38.75,37.05,37.35,791756
2025-09-02,37.05,38.1,36.25,37.6,661318
2025-09-03,37.6,37.65,36.8,36.85,532466
2025-09-04,37.3,37.55,36.3,37.1,753097
2025-09-05,37.1,38.9,37.1,38.0,1140539
2025-09-08,38.95,39.65,38.2,38.8,1011574
2025-09-09,39.5,39.85,37.8,37.95,956610
2025-09-10,37.95,38.5,37.55,37.75,725413
2025-09-11,38.05,38.2,36.65,36.7,724585
2025-09-12,36.5,38.3,36.5,36.6,755476
2025-09-15,36.6,36.6,35.0,35.6,786535
2025-09-16,35.7,36.0,35.35,35.6,309023
2025-09-17,35.5,36.0,35.2,35.65,313458
2025-09-18,35.65,36.5,35.65,36.15,530020
2025-09-19,36.3,37.15,36.05,36.1,949522
2025-09-22,36.25,37.0,36.0,36.6,660265
2025-09-23,36.9,37.0,35.45,36.0,935801
2025-09-24,36.1,36.1,35.0,35.15,590238
2025-09-25,35.45,35.85,34.2,34.2,954659
2025-09-26,34.8,34.8,33.1,33.9,804034
2025-09-30,33.9,34.2,33.75,34.1,362200
2025-10-01,34.35,34.6,33.85,33.9,319139
2025-10-02,34.3,34.4,33.8,33.9,422887
2025-10-03,34.05,34.05,33.8,33.85,305083
2025-10-07,33.85,34.35,33.85,34.1,402167
2025-10-08,33.55,34.4,33.45,34.2,475396
2025-10-09,34.2,34.4,33.7,33.85,460756
2025-10-13,32.0,32.8,31.65,32.5,666591
2025-10-14,32.55,33.5,31.65,31.65,674745
2025-10-15,31.7,31.95,31.5,31.65,316271
2025-10-16,32.0,32.5,31.8,32.05,250219
2025-10-17,32.0,32.0,31.0,31.1,642301
2025-10-20,31.25,34.2,31.25,34.2,1295910
2025-10-21,34.9,35.4,34.25,34.35,1613386
2025-10-22,33.5,34.6,33.5,33.7,424265
2025-10-23,33.2,33.8,32.9,33.1,349694
2025-10-27,34.0,34.1,33.45,33.85,409146
2025-10-28,34.2,34.5,33.35,33.85,506361
2025-10-29,34.4,37.2,34.0,37.2,2727946
2025-10-30,38.0,40.9,37.7,40.9,6195576
2025-10-31,41.0,41.4,38.55,40.25,4174025
2025-11-03,40.6,41.25,38.8,40.0,4332906
2025-11-04,40.0,42.0,38.95,39.0,2101474
2025-11-05,38.0,38.8,37.0,38.8,1047873
2025-11-06,39.15,39.4,38.2,38.65,788247
2025-11-07,37.2,38.0,36.6,37.3,970378
2025-11-10,37.25,37.9,36.2,37.9,592926
2025-11-11,37.9,38.85,37.7,37.7,525960
2025-11-12,38.05,39.2,38.05,38.7,624305
2025-11-13,38.7,39.25,37.95,39.15,639116
2025-11-14,38.5,39.75,38.2,38.65,534529
2025-11-17,39.6,39.6,38.2,38.3,526728
2025-11-18,38.75,38.75,36.5,36.75,623852
2025-11-19,36.75,36.75,35.1,35.35,496117
2025-11-20,37.5,37.5,35.5,36.0,375945
2025-11-21,35.0,35.4,33.5,34.2,519141
2025-11-24,34.75,35.5,34.35,35.25,276002
2025-11-25,35.9,36.3,35.5,35.6,343049
2025-11-26,36.35,39.15,36.3,39.15,1250450
2025-11-27,42.5,43.05,41.25,42.1,5228612
2025-11-28,40.85,42.85,40.0,41.4,2337289
2025-12-01,41.4,45.5,41.2,45.5,5330075
2025-12-02,44.95,45.05,42.95,43.15,4949566
2025-12-03,43.3,47.4,41.8,47.15,5675988
2025-12-04,45.85,47.3,45.0,45.25,3037520
2025-12-05,45.6,46.5,44.65,45.75,1936400
2025-12-08,45.5,47.8,44.5,46.3,2873828
2025-12-09,46.5,46.9,45.5,46.0,1647627
2025-12-10,46.0,46.25,44.5,45.0,1826635
2025-12-11,45.5,46.8,44.0,44.6,1983212
2025-12-12,44.7,45.5,43.5,44.95,1446557
2025-12-15,45.3,45.3,44.0,44.5,673239
2025-12-16,44.1,44.85,42.4,42.9,1079290
2025-12-17,44.4,44.6,43.05,43.8,619002
2025-12-18,43.8,43.8,42.6,42.9,540505
2025-12-19,43.8,44.8,42.5,43.15,760628
2025-12-22,44.75,47.45,44.6,47.45,5567150
2025-12-23,47.8,51.9,47.65,51.5,7686741
2025-12-24,51.5,51.5,47.6,49.35,4415452
2025-12-26,48.8,49.5,48.5,48.7,1960471
2025-12-29,49.7,50.3,47.0,47.0,2614475
2025-12-30,46.6,49.1,46.1,48.8,2045034
2025-12-31,49.0,49.3,47.65,47.75,2396634
2026-01-02,48.3,50.3,48.25,48.5,3422271
2026-01-05,49.0,49.05,45.0,46.0,3628378
2026-01-06,45.1,45.9,44.55,45.4,1792557
2026-01-07,45.4,47.35,45.0,46.1,1660291
2026-01-08,45.75,46.3,45.0,45.2,1121312
2026-01-09,45.0,45.05,43.3,44.15,924368
2026-01-12,44.4,45.9,44.3,44.75,648501
2026-01-13,45.0,45.2,43.25,43.35,1443854
2026-01-14,43.8,44.2,43.5,43.95,579195
2026-01-15,44.0,45.8,43.65,45.6,1340769
2026-01-16,46.0,46.1,44.0,44.25,1387080
2026-01-19,44.25,45.4,44.15,44.5,925461
2026-01-20,44.55,48.1,44.1,46.5,2685248
2026-01-21,46.9,51.1,46.65,51.1,5983594
2026-01-22,56.0,56.2,55.5,56.2,6849889
2026-01-23,56.5,57.0,50.6,52.9,13286420
2026-01-26,52.1,53.6,50.6,51.8,3653930
2026-01-27,51.8,56.9,51.8,56.9,10316982
2026-01-28,58.8,62.5,58.0,61.0,11693903
2026-01-29,61.0,64.6,59.7,61.3,11311738
2026-01-30,59.0,63.2,58.4,61.0,5884894
2026-02-02,58.0,58.7,54.9,55.1,5211057
2026-02-03,56.6,57.8,54.3,55.1,2752771
2026-02-04,55.1,60.6,54.5,60.6,3123084
2026-02-05,63.2,66.6,62.2,66.6,11841547
2026-02-06,65.8,65.8,60.0,64.7,8099863
2026-02-09,71.1,71.1,71.1,71.1,3656689
2026-02-10,71.8,78.2,69.5,76.0,9736783
2026-02-11,76.0,78.3,71.0,76.4,6096769
2026-02-23,75.7,80.0,75.4,79.0,6213613
2026-02-24,80.2,86.9,80.2,86.9,3663199
2026-02-25,88.1,95.0,85.4,93.6,8432530
2026-02-26,93.4,99.5,89.0,96.0,3514985
2026-03-02,91.2,105.5,91.2,105.0,3233194
2026-03-03,105.0,105.0,95.0,95.7,3859467
2026-03-04,90.0,90.0,86.2,86.2,3851037
2026-03-05,90.9,91.2,78.0,84.0,3663949
2026-03-06,80.6,83.5,80.0,80.0,2198819
2026-03-09,72.0,72.0,72.0,72.0,972831
2026-03-10,75.4,75.5,69.0,74.0,2524942
2026-03-11,75.4,81.4,75.4,81.4,1003952
2026-03-12,84.8,88.9,83.1,86.0,3474822
2026-03-13,79.9,89.5,79.0,88.1,4211214
2026-03-16,88.1,88.3,82.8,85.5,2901188
2026-03-17,88.0,88.0,80.2,81.0,4705094
2026-03-18,81.1,86.3,78.3,85.0,4565671
2026-03-19,83.9,93.5,83.2,93.5,6705669
2026-03-20,99.6,102.0,88.0,98.0,10734711
2026-03-23,90.0,94.7,88.2,89.9,4564190
2026-03-24,92.5,94.0,83.0,87.5,3948087
2026-03-25,92.7,95.9,91.0,95.5,4961170
2026-03-26,97.1,100.5,94.0,95.0,7206100
2026-03-27,86.9,95.6,86.9,94.1,3469696
2026-03-30,90.1,91.8,88.2,89.6,2537408
2026-03-31,88.5,89.5,82.0,82.7,3004139
2026-04-01,87.5,88.7,85.4,86.3,1897123
2026-04-02,87.8,89.8,83.1,83.1,2107513
