件,格表,跑過的臂,比過判準,窗,結果,註
P7 停損四族,resultsp7/cells.csv,6,6,全窗+A+B,0/6 通過（含 stop=none 基準）,N=8 固定；5 種停損＋無停損
P9ⓑ 弱勢減碼,resultsp9/cells.csv,2,2,全窗,0/2（win_self、win_sl 皆 False）,base 與 b 兩臂
P11 訊號集×選擇率,resultsp11/cells.csv,16,16,全窗,0/16,"sigset(B,C)×mode(var,fix)×rate(4) ＝ 2×2×4"
P12 相對落後歸屬,resultsp12/cells.csv,48,0,主格窗+全窗,⛔ 歸屬診斷，未比判準,S×C×T×窗×成本 ＝ 48；⭐ 它是拆解，⛔ 不是候選策略
P13 只換權重,resultsp13/arms.csv,8,2,全窗+主格窗,0/2（W0、W1 全窗）,4 臂×2 窗 ＝ 8 列；W0p／W0i 是對帳臂
P14 0050 進組合,resultsp14/w_summary.csv,5,5,全窗,**2/5 通過**（w=0.00、0.25）,⚠ w=0 就是 0050 本身 ⇒ ⭐ 通過的那兩格含退化解
P15 候選檔數閘門,resultsp15/summary.csv,4,2,全窗,0/2（G0、G1）,另二臂：假訊號閘門、排除四月 ⇒ 對照
P16 條件出場,resultsp16/summary.csv,6,5,全窗,0/5（E0/E1/E1a/E1b/E1c）,R1 是對照臂
P17 外生算式決定 w,resultsp17/per_seed_arm.csv,6,1,釘死窗,判定格 R_eq 兩腳過、(i) 落出口③ ⇒ 判【沒有新資訊】,⭐ 六臂中只有 R_eq 是判定格；W_fix/W_shuf/R_tv/R_rp/W0/W1 只作描述（P17 §九②）
研究十三／PREREG10,results13/portfolio.csv,48,48,全窗+A+B,0/48,set×regime×N×rule
研究十三b／PREREG11,results13b/portfolio.csv,48,48,全窗+A+B,**2/48**（N30 H60、N40 H60）,⚠ 裁定線 1813 §三：那兩格是【全窗】⇒ 仍缺 A／B 兩腳
D4 放寬三閘門,results_d4/cells.csv,8,2,釘死窗,0/2（S1′ 主欄、附欄）,4 臂×2 欄；⭐ S1′ 兩腳都沒過 0050（裁定線 2002）
