件,窗,假訊號臂,rep數,逐rep判過,註
P7 停損四族,全窗,⛔ 無,—,—,⇒ 依 seq84 §三③，引用本件的「過」必須標【無假訊號臂】
P9ⓑ 弱勢減碼,全窗,⛔ 無,—,—,⇒ 依 seq84 §三③，引用本件的「過」必須標【無假訊號臂】
P11 訊號集×選擇率,全窗,⛔ 無,—,—,⇒ 依 seq84 §三③，引用本件的「過」必須標【無假訊號臂】
P12 相對落後歸屬,釘死窗,⛔ 無,—,—,⇒ 依 seq84 §三③，引用本件的「過」必須標【無假訊號臂】
P13 只換權重,全窗,⛔ 無,—,—,⇒ 依 seq84 §三③，引用本件的「過」必須標【無假訊號臂】
P14 0050 進組合,全窗,⛔ 無,—,—,⇒ 依 seq84 §三③，引用本件的「過」必須標【無假訊號臂】
P15 候選檔數閘門,全窗,✅ 有（placebo_by_seed.csv）,30,**0／30**,池化中位判過＝False｜年化中位 0.2284／回落中位 0.4187
P16 條件出場,全窗,⛔ 無（placebo.csv 不是績效臂）,—,—,⭐ 該檔是【共同區間／決定性】檢查（欄：r／共同區間日數／三臂互比／各臂對E0），⛔ 沒有自己的年化／回落
P17 外生算式,釘死窗,✅ 有（per_seed_arm.csv）,30,**30／30**,池化中位判過＝True｜年化中位 0.2598／回落中位 0.3255
研究十三,全窗,⛔ 無,—,—,⇒ 依 seq84 §三③，引用本件的「過」必須標【無假訊號臂】
研究十三b,全窗,⛔ 無,—,—,⇒ 依 seq84 §三③，引用本件的「過」必須標【無假訊號臂】
D4 放寬三閘門,釘死窗,⛔ 無,—,—,⇒ 依 seq84 §三③，引用本件的「過」必須標【無假訊號臂】
