vid,登錄#,型態（登錄）,健檢總表列名,型態性質,名稱隱含方向,實測數字,方向判定,整體表現排名,推出_事前,推出_d,登錄_事前,登錄_d,一致
K01,1,三隻烏鴉,三隻烏鴉 Three Black Crows,反轉,看跌反轉,反轉率78%,一致,3/103,升,-1,升,-1,True
K02,2,昏星,昏星 Evening Star,反轉,看跌反轉,反轉率72%,一致,4/103,升,-1,升,-1,True
K03,3,倒鎚（兩根）,倒鎚 Inverted Hammer,反轉（理論）,看漲反轉,⚠⚠⚠續勢率65%（原文：實際表現為看跌續勢）,⚠⚠⚠不一致－反轉當續勢（非接近隨機，本表除Thrusting外最劇烈的翻轉）,6/103,降,-1,降,-1,True
K04,4,相同低點,相同低點 Matching Low,反轉（理論）,看漲反轉,⚠⚠⚠續勢率61%（原文：實際表現為看跌續勢）,⚠⚠⚠不一致－反轉當續勢（非接近隨機，本表這個分類裡排名最好）,8/103,降,-1,降,-1,True
K05,5,跳空雙黑線,跳空雙黑線 Two Black Gapping,續勢（定義）,看跌續勢,續勢率68%,定義上就是續勢,10/103,降,-1,降,-1,True
K06,6,空頭Breakaway,空頭Breakaway（缺口收復）,反轉,看跌反轉,反轉率63%（空頭情境89%）,一致,11/103,升,-1,升,-1,True
K07,7,晨星,晨星 Morning Star,反轉,看漲反轉,反轉率78%,一致,12/103,降,1,降,1,True
K08,8,貫穿線,貫穿線 Piercing Pattern,反轉,看漲反轉,反轉率64%,一致,13/103,降,1,降,1,True
K09,9,三明治線,三明治線 Stick Sandwich,反轉（理論）,看漲反轉,⚠⚠⚠續勢率62%（原文：實際表現為看跌續勢）,⚠⚠⚠不一致－反轉當續勢,14/103,降,-1,降,-1,True
K10,10,Thrusting,Thrusting,續勢（理論）,看跌續勢,反轉率57%（原文：實際表現為看漲反轉）,⚠⚠⚠不一致－續勢當反轉（本表方向翻轉最不接近隨機的案例）,15/103,降,1,降,1,True
K11,11,空頭會合線,"空頭會合線 Meeting Lines, Bearish",反轉（理論）,看跌反轉,"⚠續勢率51%（原文：實際表現為看漲續勢，""that is random""）",⚠不一致－反轉當續勢（接近隨機）,16/103,升,1,升,1,True
K12,12,In Neck,In Neck,續勢（定義）,看跌續勢,續勢率53%,定義上就是續勢（接近隨機）,17/103,降,-1,降,-1,True
K13,13,多頭會合線,"多頭會合線 Meeting Lines, Bullish",反轉（理論）,看漲反轉,反轉率56%（近隨機）,一致（接近隨機）,18/103,降,1,降,1,True
K14,14,長黑日,"長黑日 Long day, black",中性（身型分類）,無明確方向,續勢53%（近似隨機）,接近隨機,19/103,無,續,無,續,True
K15,15,歸巢鴿,歸巢鴿 Homing Pigeon,反轉（理論）,看漲反轉,⚠續勢56%（原文：實際表現為看跌續勢，near random）,⚠不一致－反轉當續勢（接近隨機）,21/103,降,-1,降,-1,True
K16,16,烏雲蓋頂,烏雲蓋頂 Dark Cloud Cover,反轉,看跌反轉,反轉率60%,一致,22/103,升,-1,升,-1,True
K17,17,十字晨星,十字晨星 Morning Doji Star,反轉,看漲反轉,反轉率76%（樣本932筆，熊市子分組僅33筆）,一致,25/103,降,1,降,1,True
K18,18,十字昏星,十字昏星 Evening Doji Star,反轉,看跌反轉,反轉率71%（最佳情境僅28筆樣本）,一致,30/103,升,-1,升,-1,True
