stock_id,market,date,prev_date,ratio,missing_trading_days,rule
1225,twse,2025-06-23,2025-04-02,1.0995,53,gap
1591,tpex,2026-07-22,2026-06-10,1.0995,27,gap
1785,tpex,2017-01-03,2016-05-16,1.0994,158,gap
2929,twse,2021-05-04,2021-04-06,1.0992,18,gap
4414,twse,2023-06-26,2022-08-17,1.0993,203,gap
4415,tpex,2017-11-22,2017-04-11,2.479,156,price+gap
5481,tpex,2025-09-19,2025-05-19,0.9014,87,gap
6131,twse,2016-07-05,2016-04-06,1.0741,61,gap
6131,twse,2019-04-10,2018-05-17,0.2562,218,price+gap
8101,twse,2024-11-19,2024-08-21,5.5,58,price+gap
8105,twse,2026-08-27,2026-08-18,1.0978,6,gap
9136,twse,2026-05-19,2026-04-22,0.963,17,gap
