stock_id,name,market,capital,shares,par,source,asof,note
00411A,主動統一前沿科技,tpex,,654576000,,universe:2026-09-03,2026-09-04,feed-shares
006201,元大富櫃50,tpex,,22946000,,universe:2026-09-03,2026-09-04,feed-shares
00679B,元大美債20年,tpex,,6242692000,,universe:2026-09-03,2026-09-04,feed-shares
00687B,國泰20年美債,tpex,,4267380380,,universe:2026-09-03,2026-09-04,feed-shares
00687C,國泰20年美債+櫃U,tpex,,1942268,,universe:2026-09-03,2026-09-04,feed-shares
00694B,富邦美債1-3,tpex,,27576000,,universe:2026-09-03,2026-09-04,feed-shares
00695B,富邦美債7-10,tpex,,40186000,,universe:2026-09-03,2026-09-04,feed-shares
00696B,富邦美債20年,tpex,,618681000,,universe:2026-09-03,2026-09-04,feed-shares
00697B,元大美債7-10,tpex,,65212000,,universe:2026-09-03,2026-09-04,feed-shares
00719B,元大美債1-3,tpex,,308514000,,universe:2026-09-03,2026-09-04,feed-shares
00720B,元大投資級公司債,tpex,,4037109000,,universe:2026-09-03,2026-09-04,feed-shares
00722B,群益投資級電信債,tpex,,1462239000,,universe:2026-09-03,2026-09-04,feed-shares
00723B,群益投資級科技債,tpex,,1520583000,,universe:2026-09-03,2026-09-04,feed-shares
00724B,群益投資級金融債,tpex,,3022775000,,universe:2026-09-03,2026-09-04,feed-shares
00725B,國泰投資級公司債,tpex,,3690706000,,universe:2026-09-03,2026-09-04,feed-shares
00726B,國泰新興投等債,tpex,,1187489000,,universe:2026-09-03,2026-09-04,feed-shares
00727B,國泰優選非投等債,tpex,,57189000,,universe:2026-09-03,2026-09-04,feed-shares
00734B,台新JPM新興債,tpex,,24979000,,universe:2026-09-03,2026-09-04,feed-shares
00740B,富邦全球投等債,tpex,,2188971000,,universe:2026-09-03,2026-09-04,feed-shares
00741B,富邦全球非投等債,tpex,,13128000,,universe:2026-09-03,2026-09-04,feed-shares
00746B,富邦A級公司債,tpex,,2550464000,,universe:2026-09-03,2026-09-04,feed-shares
00749B,凱基新興債10+,tpex,,1110500000,,universe:2026-09-03,2026-09-04,feed-shares
00750B,凱基科技債10+,tpex,,148000000,,universe:2026-09-03,2026-09-04,feed-shares
00751B,元大AAA至A公司債,tpex,,5228103000,,universe:2026-09-03,2026-09-04,feed-shares
00754B,群益AAA-AA公司債,tpex,,1303900000,,universe:2026-09-03,2026-09-04,feed-shares
00755B,群益投資級公用債,tpex,,280230000,,universe:2026-09-03,2026-09-04,feed-shares
00756B,群益投等新興公債,tpex,,1299300000,,universe:2026-09-03,2026-09-04,feed-shares
00758B,復華能源債,tpex,,5525000,,universe:2026-09-03,2026-09-04,feed-shares
00759B,復華製藥債,tpex,,47525000,,universe:2026-09-03,2026-09-04,feed-shares
00760B,復華新興企業債,tpex,,435020000,,universe:2026-09-03,2026-09-04,feed-shares
