sym,month,url,zip_sha256,content_sha256,rows,had_header,status
BTC,2020-01,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2020-01.zip,83f80bb879d556dc26e10bd8dca5d6a1d4484247dd1a536431fad767f7978268,04b339d77b84fb3ed7cef946d79d56813483ca91d08ad5b17b7a733761a3e986,31,0,ok
BTC,2020-02,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2020-02.zip,222261bba40db8b35ace2cf48e4b031acc262959afe51606d6006f85e80b7afb,d19fc7aa8411fda93ea5cef16825e564b360bb59a3a6bc46ebba7ff0017eb1a3,29,0,ok
BTC,2020-03,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2020-03.zip,5995a21df99508a3d3605c9aa7a54acf8bfa08d8dd5f1d1ed79031baf41e953a,3fbd2812bc912c4239f60df844b588ab255d64e5f086334a20df9e7f64cc7fe2,31,0,ok
BTC,2020-04,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2020-04.zip,ece152d49d8dadf02e6d3f3193071ba94a71bf571a4565374255f91624122c3d,d6445d99b363fc8484af059700b54e8ee694ca0167885a1f6dc8b4b50cee4647,30,0,ok
BTC,2020-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2020-05.zip,2b9c8f3955539dc29dcb25d6915e35f434c82eddca4483e9c062310e6cd85acd,5057bfd2b04d73741e4bd2095a756ee3261fca06a0c0cca9e3a9fc5decd48f3a,31,0,ok
BTC,2020-06,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2020-06.zip,d52e253535b75f5af2442d620d3eb3d1e06e1e565c8ed92fb93a96b449bce7b5,4e7d8518e2dbfe3feaf6a1bd32b33bc0a65ce5295572833c7660fe57e57b136b,30,0,ok
BTC,2020-07,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2020-07.zip,03a84112408f3ce5beedd98af8195cd53482b5271b434e1c48e5ea3c629ddb23,abbe1cc6cf349c09104035311489886e84e3173ce8825b1f8a36182516ac6e6f,31,0,ok
BTC,2020-08,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2020-08.zip,92cca88204659005d28e1c6b49ab0a06051adea7d2ba7e918b4d8e4b178d86f5,f4b279e8febe0b4e997815a0cf536dc9d11526dc2708f3dc04b5fbc29de09a47,31,0,ok
BTC,2020-09,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2020-09.zip,33dfb6af799a004f676b8cf9c81f6db3cbdb4e9183d256a626c24a8e4adf80e5,e0afdda2af4562355084a55caa1b64e78f169955481ee1233d22e1a418a76c82,30,0,ok
BTC,2020-10,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2020-10.zip,22fefc0b40cec702ff683c2ef9d25c1e249677ca8055cef4d07d83839e480ad8,5bb825410646510103d79a686f568c34b4953e1c9cb771a1ab99f9ff6b91cf72,31,0,ok
BTC,2020-11,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2020-11.zip,15297014b7d6ee07dd90d97e4192e0949817da3c53ed26ef467857a53f29e0c4,a23981ba36dae63e89d4c932fa50a71e5088bd92fd5feceffeca4cbd63c1f044,30,0,ok
BTC,2020-12,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2020-12.zip,6cba4bb0135c45c8be87a88d0ea712455aa805b36faa431ebf30937b12d52c1d,f533dfbeb8414ab3bef1cac3e1728f814fe2547c2d6970c6a0a4f0e14f1aef42,31,0,ok
BTC,2021-01,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2021-01.zip,6a4dbacb435eac93e60896bd62a2320d313e6578f295a62f77cbee0d706a9981,0ba2cdfbb8efe662e539537ae5c1ce97d06d191b3a4e35283c1194590b4c5d8e,31,0,ok
BTC,2021-02,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2021-02.zip,294d0696237dc225217df26103e78ac640850c34b0b6c2d44aa64a2f84a67884,2436515d4892cf0909f98d76e418b6b19a021975760468272d694157c030b5a5,28,0,ok
BTC,2021-03,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2021-03.zip,80d5f940649faa70cf374a2a7646d032eeb22582966125db4d24cf973c7cf899,250bcd55e63b76f0822fcdbbb28cecac21deaca16f087605d7dc21da96b76ec4,31,0,ok
BTC,2021-04,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2021-04.zip,ec58d64320061a7a5b57238490b787e7376e72131d3d06e768120e2f5cd0c8c8,18441fb4e0bdd922b2f34ff00ca7db8859617afb1a8b1f2b954b7d1b8f038570,30,0,ok
BTC,2021-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2021-05.zip,12f232d27edb5c507bd8686108bfbe4cb6c6959960f1ff3b39a5ac831ffaf2b1,4f14fa28f323817807849cef5fea12ca42879bc937acf1e08e4f425ccfcf8c39,31,0,ok
BTC,2021-06,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2021-06.zip,10000897f2df8f86b2b6a8b218b7b5b9132fc0f25bd930c2444d458d843a00d9,32cc168fb60e97fc97452fa67c0dddc82db593fda0e0e6cf8de26344557e4eb6,30,0,ok
BTC,2021-07,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2021-07.zip,c3a7cd0aeda605a8b5ff327a0c596c9d60d2457d8673c3607757c9837c282178,99d7dd854dcb02c9ab28fe1e3b3614d257b53ff37d37a6dd0f46f8410d2a8f47,31,0,ok
BTC,2021-08,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2021-08.zip,baf5fe9492f95a56f91bf80e17548294c992983e495017358be23b4c1174d214,0e9096dd0940e0a1828e87c919aafc5bc6f16bab283a89768e963c400775f8a2,31,0,ok
BTC,2021-09,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2021-09.zip,5ed176eb237c35110cd48dd219fe2d5acc59dbee1c7eb431643b1a3e14709976,409d863e12cb30eabe82d770667f99cc05f6bfe63dc4511a9364bf7bf023b4b2,30,0,ok
BTC,2021-10,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2021-10.zip,04be35f0945d02265243f1d7b42efc9bf3814d6c576bb629a8eac4a20ab1e032,0291b25a82a2f04b53f8784c3130252c9de274853d3088aca2e53cf177bf7fb6,31,0,ok
BTC,2021-11,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2021-11.zip,17814825202c6e1bf932c9d0b3e0fc682c73eb5dd0df23be323d3fa72909722c,8785c73492bf828d141dbd49a8c462d1709428a290c4a5e80a6314b9db89be30,30,0,ok
BTC,2021-12,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2021-12.zip,fa6f4fa8893ae41c856eab979d83baea8c09ac94a2d84d7942bef4c047c995d8,2e238733c239e47d65d69ccd475c1ee29370f5a056722eccb50dc529f1b49835,31,0,ok
BTC,2022-01,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2022-01.zip,6a345421a9e4146b8d352356c38c0c2cc21628c34e6a3f6668cf04d37de79f45,ffa83be19308d4f2a29b16c064db9b3785c542af14b9d816e5f6f3a60ed2eaf7,31,1,ok
BTC,2022-02,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2022-02.zip,2741e3ec53804c9d4b3c57f22845923e72249f63f075525c8be875f7c0db286f,8819631932cb357a85cffbe69bc47503ab108512770dc24feb1520e11ae845f4,28,1,ok
