# tpex_probe.py 的輸出。這是端點目錄，不是資料。
# 來源：https://www.tpex.org.tw/openapi/swagger.json

── 櫃買 OpenAPI 端點目錄 ──
來源（WebSearch 結果，非自行生成）：https://www.tpex.org.tw/openapi/swagger.json
✓ 取得 476,923 bytes

[1] 端點總數 225

[2] ★ 吃日期參數的端點（能回補歷史的前提）
    （一個都沒有——那就代表 openapi 這一層只給當日，歷史要走別的路，不要硬湊）

[3] 「日曆／大盤統計」的候選
    /bond_cb_daily｜轉(交)換公司債買賣斷券商買賣日報表｜參數 無
    /mopsfin_t187ap05_OA｜二十九大類股營收變化統計表｜參數 無
    /mopsfin_t187ap14_O｜上櫃公司各產業EPS統計資訊｜參數 無
    /mopsfin_t187ap19_O｜電子式交易統計資訊(上櫃)｜參數 無
    /mopsfin_t187ap36_O｜上櫃認購(售)權證年度發行量概況統計表｜參數 無
    /mopsfin_t187ap42_O｜上櫃認購(售)權證每日成交資料檔｜參數 無
    /tpcgi_change｜上櫃公司治理指數當日收盤指數｜參數 無
    /tpcgi_constituents｜上櫃公司治理指數當日成分股資訊｜參數 無
    /tpcgi_reward_index｜上櫃公司治理指數歷史收盤指數｜參數 無
    /tpci_change｜櫃買「薪酬指數」當日收盤指數｜參數 無
    /tpci_constituents｜櫃買「薪酬指數」當日成分股｜參數 無
    /tpci_reward_index｜櫃買「薪酬指數」歷史收盤指數｜參數 無
    /tpex200_change｜櫃買「富櫃200指數」當日收盤指數｜參數 無
    /tpex200_constituents｜櫃買「富櫃200指數」當日成分股｜參數 無
    /tpex50_change｜櫃買「富櫃50指數」當日收盤指數｜參數 無
    /tpex50_constituents｜櫃買「富櫃50指數」當日成分股｜參數 無
    /tpex50_index｜富櫃50指數歷史收盤指數｜參數 無
    /tpex_3insti_daily_trading｜上櫃股票三大法人買賣明細資訊｜參數 無
    /tpex_3insti_dealer_trading｜上櫃股票自營商買賣超彙總表｜參數 無
    /tpex_3insti_qfii_trading｜上櫃股票外資及陸資買賣超彙總表｜參數 無
    /tpex_3insti_summary｜上櫃股票三大法人買賣金額彙總表｜參數 無
    /tpex_3insti_trading｜上櫃股票投信買賣超彙總表｜參數 無
    /tpex_active_dollar_volume｜上櫃盤中個股成交金額排行｜參數 無
    /tpex_amount_rank｜上櫃歷史個股成交值排行｜參數 無
    /tpex_ceil_non_trading｜上櫃漲跌停未成交資訊｜參數 無

[3] 「類股名稱」的候選
    /mopsfin_t187ap05_OA｜二十九大類股營收變化統計表｜參數 無
    /mopsfin_t187ap14_O｜上櫃公司各產業EPS統計資訊｜參數 無
    /tpex_3insti_qfii_industry｜上櫃各類股僑外資及陸資持股比例表｜參數 無
    /tpex_trading_volume_ratio｜上櫃歷史類股成交價量比重｜參數 無

[4] 完整端點清單（225 個）
    /BDdos209UTF｜美元零息可贖回國際債券理論價格｜參數 無
    /BDdos215UTF｜美元附息固定利率可贖回國際債券理論價格｜參數 無
    /BDdos216UTF｜美元固定利率不可贖回國際債券理論價格｜參數 無
    /bond_ISSBD10_data｜國際債券(寶島債券)-本國發行人及第一、二上市(櫃)公司之外國發行人發行資料下載｜參數 無
    /bond_ISSBD11_data｜國際債券(寶島債券)-外國發行人(在我國未公開發行股權商品者)發行資料下載｜參數 無
    /bond_ISSBD1_data｜公債發行資料下載｜參數 無
    /bond_ISSBD2_data｜外國金融債發行資料下載｜參數 無
    /bond_ISSBD3_data｜金融債發行資料下載｜參數 無
    /bond_ISSBD4_data｜普通債發行資料下載｜參數 無
    /bond_ISSBD5_data｜轉(交)換債發行資料下載｜參數 無
    /bond_ISSBD6_data｜海外轉換債發行資料下載｜參數 無
    /bond_ISSBD7_data｜附認股權公司債發行資料下載｜參數 無
    /bond_ISSBD8_data｜海外附認股權公司債發行資料下載｜參數 無
    /bond_ISSBD9_data｜海外普通債發行資料下載｜參數 無
    /bond_cb_daily｜轉(交)換公司債買賣斷券商買賣日報表｜參數 無
    /mopsfin_187ap17_O｜上櫃公司營益分析查詢彙總表(全體公司彙總報表)｜參數 無
    /mopsfin_t187ap01｜券商業務別人員數｜參數 無
    /mopsfin_t187ap02_O｜上櫃公司持股逾 10% 大股東名單｜參數 無
    /mopsfin_t187ap03_O｜上櫃股票基本資料｜參數 無
    /mopsfin_t187ap03_R｜興櫃公司基本資料｜參數 無
    /mopsfin_t187ap04_O｜上櫃公司每日重大訊息｜參數 無
    /mopsfin_t187ap05_O｜上櫃公司每月營業收入彙總表｜參數 無
    /mopsfin_t187ap05_OA｜二十九大類股營收變化統計表｜參數 無
