Date,SecuritiesCompanyCode,CompanyName,CompanyAbbreviation,Registration,SecuritiesIndustryCode,Address,UnifiedBusinessNo.,Chairman,GeneralManager,Spokesman,TitleOfSpokesman,DeputySpokesperson,Telephone,DateOfIncorporation,DateOfListing,ParValueOfCommonStock,Paidin.Capital.NTDollars,PrivateStock.shares,PreferredStock.shares,PreparationOfFinancialReportType,StockTransferAgent,StockTransferAgentTelephone,StockTransferAgentAddress,AccountingFirm,CPA.CharteredPublicAccountant.First,CPA.CharteredPublicAccountant.Second,Symbol,Fax,EmailAddress,WebAddress,IssueShares
1150908,1240,茂生農經股份有限公司,茂生農經,－ ,33,"2F.,No.30,Sec. 1,Heping W.Rd.,Zhongzheng Dist.,Taipei City 100028TAIPEI,TAIWAN(R.O.C)",18795706,吳清德,吳清德,林信鴻,公司治理主管,邱紹齊,02-23671162,19670218,20180808,新台幣                 10.0000元,442323730,0,0,1,元大證券股份有限公司股務代理部,02-2586-5859,106045台北市大安區敦化南路二段67號地下1樓,勤業眾信聯合會計師事務所,陳重成,洪偉倫,MORNSUN　,02-23640694,bedford@morn-sun.com.tw,https://www.morn-sun.com.tw/　,44232373
1150908,1259,安心食品服務股份有限公司,安心,－ ,16,"16 F.-3, No. 66, Jingmao 2nd Rd., Nangang Dist., Taipei CityTaipei City 115605, Taiwan (R.O.C.)",23928945,黃茂雄,謝靜慧,高順興,副董事長,卓世賢,(02)2567-5001,19901123,20111215,新台幣                 10.0000元,323895000,0,0,1,群益金鼎證券(股)公司股務代理部,(02)27023999,(106)台北市大安區敦化南路二段97號B2,資誠聯合會計師事務所,徐明釧,陳怡婷,AN-SHIN,(02)2567-5002,ir@mos.com.tw,http://www.mos.com.tw,32389500
1150908,1264,德麥食品股份有限公司,德麥,－ ,02,"No.31,Wuquan 5th Rd.,Wugu Dist.,New Taipei City,Taiwan,R.O.C.",23420497,林雪嬌,吳文欽,邱俊榮,財務經理,賴素瑛,(02)2298-1347,19890629,20150409,新台幣                 10.0000元,370523670,0,0,1,富邦綜合證券(股)公司股務代理部,(02)2361-1300,台北市中正區許昌街17號2樓,勤業眾信聯合會計師事務所,張耿禧,劉力維,TEHMAG,(02)2298-2263,ir@tehmag.com.tw,http://www.tehmag.com.tw,37052367
1150908,1268,漢來美食股份有限公司,漢來美食,－ ,16,"21F-1, No.266, Cheng-Kung 1st Road,80146 Kaohsiung City,Taiwan, R.O.C.",80352343,林淑婷,林淑婷,柯柏良,財務長,吳若寧,(07)213-5788,20030109,20170927,新台幣                 10.0000元,422237300,0,0,1,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,勤業眾信聯合會計師事務所,陳珍麗,張慈媛,Hi-Lai Foods,(07)215-5956,stock@hilai-foods.com,www.hilai-foods.com,42223730
1150908,1294,漢田生技股份有限公司,漢田生技,－ ,02,"No. 101, Gongye Rd., Xihu Township,Changhua County, Taiwan (R.O.C)",28814153,李雨霖,王國華,王國華,總經理,謝駿陽,04-8811181,20071022,20240926,新台幣                 10.0000元,366258750,0,0,1,中國信託商業銀行代理部,02-6636-5566,100台北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,吳恪昌會計師,鍾鳴遠會計師,HTB,04-8823456,IR@htbios.com,https://www.htbios.com/,36625875
1150908,1295,生合生物科技股份有限公司,生合,－ ,02,"NO.82,Beiling 6th Rd.,Luzhu Dist.,Kaohsiung City821,Taiwan",70402724,楊連傳,楊三連(執行長),張秀如,副總經理,蔡明儒,07-6955680,20000601,20250527,新台幣                 10.0000元,375998000,0,0,1,台新證券股務代理部,02-25048125,台北市建國北路一段96號B1,安侯建業聯合會計師事務所,高鈺倫,陳永祥,SYNBIO,07-6955713,investor@synbiotech.com.tw,http://www.synbiotech.com,37599800
1150908,1336,台翰精密科技股份有限公司,台翰,－ ,28,"1F., No. 568, Sec. 1, Minsheng N. Rd., Guishan Dist.Taoyuan City 333 , Taiwan (R.O.C.)",22589593,蔡鎮隆,蔡鎮隆,李晉誠,執行副總經理,遺缺待補,03-3112025,19870828,20071102,新台幣                 10.0000元,776144190,0,0,1,永豐金證券(股)公司股務代理部,02-23816288,台北市中正區博愛路17號3樓,資誠聯合會計師事務所,葉翠苗,林佳鴻,TAIHAN,03-3112035,alen@thpt.com.tw,www.thpt.com.tw,77614419
1150908,1565,精華光學股份有限公司,精華,－ ,22,"4, 5F, No. 276-2, Sec. 1, Ta Tung Rd,,Hsi Chih Dist., New Taipei City, Taiwan",22195654,陳明賢,周育然,周華玲,稽核室副理,林雅蘋,(02)8691-6000,19860924,20040330,新台幣                 10.0000元,504165160,0,0,1,元大證券股務代理部,(02)2586-5859,106臺北市大安區敦化南路2段67號地下一樓,資誠聯合會計師事務所,蔡蓓華,陳晉昌,St.Shine　,(02)2647-9369,s0505@stshine.com.tw,http://www.stshine.com.tw,50416516
1150908,1569,濱川企業股份有限公司,濱川,－ ,25,2 Shing Yeh Road Ta-fa Industrial ZoneKoahsiung  Taiwan R.O.C,76404919,蕭欽銘,蕭欽群,李璠,副總經理,黃琳霽,07-7871521,19830330,20050729,新台幣                 10.0000元,1442474410,22800000,0,1,富邦綜合證券股份有限公司,02-23611300,台北市中正區許昌街17號11樓,勤業眾信聯合會計師事務所,劉裕祥,許瑞軒,Bin Chuan,07-7871515,fan_lee@hamagawa.com,https://www.hamagawa.com.tw/,144247441
1150908,1570,力肯實業股份有限公司,力肯,－ ,05,"NO.81, MUSEUM ROADBa-Li District, New Taipei City, Taiwan",36253534,陳立白,林昭陽,林婉菁,總管理處副總經理,林昭陽,(02)2619-5619,19831223,20050630,新台幣                 10.0000元,515008390,0,0,1,福邦證券股份有限公司股務代理部,(02)2371-1658,台北市中正區忠孝西路１段６號６樓,資誠聯合會計師事務所,于智帆會計師,王方瑜會計師,De Poan,(02)2619-5618,mops@depoan.com,www.depoan.com,51500839
1150908,1580,新麥企業股份有限公司,新麥,－ ,05,"No.23, Wuquan 6th Rd., Wugu Dist.New Taipei City , Taiwan (R.O.C.)",12461082,謝順和,謝順和,陳宜雯,會計主管,謝銘效,02-22981148,19830927,20071210,新台幣                 10.0000元,493392420,0,0,1,台新證券股務代理部,02-25048125,台北市建國北路一段96號B1,勤業眾信聯合會計師事務所,張耿禧,劉力維,SINMAG,02-22981718,sinmag.tw@sinmag.com.tw,www.sinmag.com.tw,49339242
1150908,1584,精剛精密科技股份有限公司,精剛,－ ,20,"No.15,Gong 1st Road,Da Nong Village, Liouying Township, Tain",80334042,王炯棻,薄慧雲,薄慧雲,總經理,林美伶,06-6235143,20020515,20071128,新台幣                 10.0000元,2324705330,0,0,1,凱基證券股份有限公司,02-23892999,100台北市中正區重慶南路一段2號5樓,資誠聯合會計師事務所,田中玉,徐惠榆,STC,06-6233311,http://www.s-tech.com.tw,http://www.s-tech.com.tw,232470533
1150908,1586,和勤精機股份有限公司,和勤,－ ,05,"No. 40, Xinggong Rd., Shengang Township,Changhua County 509, Taiwan (R.O.C.)",86985605,林輝政,謝章典,謝章典,總經理,陳益莊,04-7980339,19921109,20120109,新台幣                 10.0000元,1295004670,20000000,0,1,群益金鼎證券股份有限公司,02-2702-3999,台北市大安區敦化南路二段97號地下二樓,安侯建業聯合會計師事務所,高鈺倫,陳宗哲,CFTC,04-7980329,cftc.service@cftc-hc.com.tw,http://www.cftc.tw,129500467
1150908,1591,英屬開曼群島商駿吉控股(股)公司,駿吉-KY,KY 開曼群島                                                    ,05,"7F., No. 3, Sec. 5, Nanjing E. Rd., Songshan Dist.Taipei City 105409 , Taiwan (R.O.C.)",53650116,胡德立,胡德立,陳志德,子公司董事長,田書祥,02-77097667,20091119,20120323,新台幣                 10.0000元,380480470,3250000,0,1,元大證券股份有限公司股務代理部,02 2586-5859,106045臺北市大安區敦化南路2段67號地下一樓,立本台灣聯合會計師事務所,程建憲,鄧欣珊,INMAX,02-27602877,ky1591@inmax-fasteners.com,http://inmaxholding.com/,38048047
1150908,1593,祺驊股份有限公司,祺驊,－ ,37,"No. 231 , Dexing  Rd.HuKou Township , Hsinchu County,Taiwan",97432341,李佳蓉,李佳蓉,連子瑞,執行副總經理,黃瓊慧,03-6992860,19970315,20120613,新台幣                 10.0000元,397847720,0,0,1,富邦綜合證券(股)公司股務代理部,02-23611300,台北市許昌街17號11樓,勤業眾信聯合會計師事務所,邱鏞銘,張至誼,CHI HUA,03-5906393,ir@chihua.com.tw,https://chihua.com.tw,39784772
1150908,1595,川寶科技股份有限公司,川寶,－ ,24,"No.33, Ln. 277, Sec. 3, Changxing Rd., Luzhu Dist.,Taoyuan City 338, Taiwan",16860440,張鴻明,曾偉倫,簡麗真,協理,張亦喬,03-3249948,19990219,20111004,新台幣                 10.0000元,575548960,2000000,0,1,福邦證券股份有限公司,02-2383-6888,台北市中正區忠孝西路一段6號6樓,勤業眾信聯合會計師事務所,方蘇立,張至誼,CBT,03-3249968,spokesman@cbtech.com.tw,http://www.cbtech.com.tw/,57554896
1150908,1599,宏佳騰動力科技股份有限公司,宏佳騰,－ ,05,"No.41,Nanzhou,Shanshang Dist.,Tainan City 74342,Taiwan(R.O.C.)",80621419,鍾杰霖,鍾杰霖,林佳慧,協理,胡春慧,06-5783988,20031225,20121225,新台幣                 10.0000元,730287640,0,0,1,統一綜合證券股份有限公司,02-27463797,臺北市松山區東興路8號B1,資誠聯合會計師事務所,林秀珊,葉芳婷,AEON,06-5783136,aeon@aeontek-motor.com.tw,www.aeontek-motor.com,73028764
