sid,entry_pos,xpos_E0,xpos,reason,judge_pos,delay,crossed,hold_bars,nan_exit
1314,523,642,573,cond,572,0,False,51,False
2103,523,642,560,cond,559,0,False,38,False
3016,523,642,583,cond,582,0,False,61,False
3529,523,642,567,cond,566,0,False,45,False
3546,523,642,539,cond,538,0,False,17,False
6173,523,642,627,cond,626,0,False,105,False
6274,523,642,642,H120,-1,0,False,120,False
6462,523,642,531,cond,530,0,False,9,False
1536,546,665,640,cond,639,0,False,95,False
2103,546,665,560,cond,559,0,False,15,False
4147,546,665,591,cond,590,0,False,46,False
8358,546,665,580,cond,579,0,False,35,False
1314,564,683,573,cond,572,0,False,10,False
1536,564,683,640,cond,639,0,False,77,False
2002,564,683,566,cond,565,0,False,3,False
2049,564,683,683,H120,-1,0,False,120,False
2233,564,683,580,cond,579,0,False,17,False
2345,564,683,683,H120,-1,0,False,120,False
2351,564,683,683,H120,-1,0,False,120,False
3236,564,683,683,H120,-1,0,False,120,False
3260,564,683,613,cond,612,0,False,50,False
3289,564,683,575,cond,574,0,False,12,False
4147,564,683,591,cond,590,0,False,28,False
4919,564,683,573,cond,572,0,False,10,False
5347,564,683,571,cond,570,0,False,8,False
5425,564,683,683,H120,-1,0,False,120,False
5483,564,683,580,cond,579,0,False,17,False
6182,564,683,610,cond,609,0,False,47,False
6488,564,683,611,cond,610,0,False,48,False
6510,564,683,566,cond,565,0,False,3,False
8049,564,683,683,H120,-1,0,False,120,False
8358,564,683,580,cond,579,0,False,17,False
8383,564,683,587,cond,586,0,False,24,False
9938,564,683,604,cond,603,0,False,41,False
3105,584,703,703,H120,-1,0,False,120,False
3532,584,703,586,cond,585,0,False,3,False
4147,584,703,591,cond,590,0,False,8,False
4721,584,703,599,cond,598,0,False,16,False
5289,584,703,618,cond,617,0,False,35,False
8464,584,703,668,cond,667,0,False,85,False
1597,607,726,726,H120,-1,0,False,120,False
2049,607,726,726,H120,-1,0,False,120,False
2344,607,726,726,H120,-1,0,False,120,False
3227,607,726,726,H120,-1,0,False,120,False
3323,607,726,723,cond,722,0,False,117,False
3515,607,726,705,cond,704,0,False,99,False
3580,607,726,628,cond,627,0,False,22,False
3665,607,726,724,cond,723,0,False,118,False
4129,607,726,714,cond,713,0,False,108,False
4502,607,726,704,cond,703,0,False,98,False
4968,607,726,632,cond,631,0,False,26,False
4974,607,726,706,cond,705,0,False,100,False
6156,607,726,652,cond,651,0,False,46,False
6409,607,726,722,cond,721,0,False,116,False
6510,607,726,659,cond,658,0,False,53,False
1597,628,747,747,H120,-1,0,False,120,False
1707,628,747,654,cond,653,0,False,27,False
2344,628,747,731,cond,730,0,False,104,False
2356,628,747,672,cond,671,0,False,45,False
2376,628,747,747,H120,-1,0,False,120,False
2395,628,747,677,cond,676,0,False,50,False
2399,628,747,673,cond,672,0,False,46,False
2618,628,747,638,cond,637,0,False,11,False
2890,628,747,747,H120,-1,0,False,120,False
3587,628,747,644,cond,643,0,False,17,False
3665,628,747,724,cond,723,0,False,97,False
4968,628,747,632,cond,631,0,False,5,False
6239,628,747,670,cond,669,0,False,43,False
6414,628,747,693,cond,692,0,False,66,False
6415,628,747,715,cond,714,0,False,88,False
9951,628,747,646,cond,645,0,False,19,False
2328,651,770,674,cond,673,0,False,24,False
4916,651,770,712,cond,711,0,False,62,False
5269,651,770,690,cond,689,0,False,40,False
6239,651,770,670,cond,669,0,False,20,False
6510,651,770,659,cond,658,0,False,9,False
9941,651,770,676,cond,675,0,False,26,False
1301,673,792,704,cond,703,0,False,32,False
1303,673,792,692,cond,691,0,False,20,False
1312,673,792,792,H120,-1,0,False,120,False
1565,673,792,788,cond,787,0,False,116,False
1710,673,792,679,cond,678,0,False,7,False
1718,673,792,773,cond,772,0,False,101,False
1909,673,792,713,cond,712,0,False,41,False
2327,673,792,792,H120,-1,0,False,120,False
2328,673,792,674,cond,673,0,False,2,False
2354,673,792,701,cond,700,0,False,29,False
2367,673,792,788,cond,787,0,False,116,False
2439,673,792,688,cond,687,0,False,16,False
2458,673,792,756,cond,755,0,False,84,False
2464,673,792,714,cond,713,0,False,42,False
2609,673,792,683,cond,682,0,False,11,False
2618,673,792,714,cond,713,0,False,42,False
2723,673,792,680,cond,679,0,False,8,False
2884,673,792,792,H120,-1,0,False,120,False
2892,673,792,716,cond,715,0,False,44,False
3036,673,792,708,cond,707,0,False,36,False
3545,673,792,681,cond,680,0,False,9,False
3563,673,792,693,cond,692,0,False,21,False
3625,673,792,721,cond,720,0,False,49,False
4147,673,792,695,cond,694,0,False,23,False
4977,673,792,695,cond,694,0,False,23,False
5274,673,792,680,cond,679,0,False,8,False
6182,673,792,792,H120,-1,0,False,120,False
6220,673,792,690,cond,689,0,False,18,False
6414,673,792,693,cond,692,0,False,21,False
6449,673,792,792,H120,-1,0,False,120,False
6456,673,792,696,cond,695,0,False,24,False
6462,673,792,699,cond,698,0,False,27,False
8039,673,792,708,cond,707,0,False,36,False
8105,673,792,711,cond,710,0,False,39,False
1909,692,811,713,cond,712,0,False,22,False
2337,692,811,725,cond,724,0,False,34,False
2344,692,811,731,cond,730,0,False,40,False
2354,692,811,701,cond,700,0,False,10,False
2428,692,811,702,cond,701,0,False,11,False
2606,692,811,706,cond,705,0,False,15,False
2883,692,811,703,cond,702,0,False,12,False
3014,692,811,752,cond,751,0,False,61,False
3036,692,811,708,cond,707,0,False,17,False
3232,692,811,738,cond,737,0,False,47,False
3324,692,811,700,cond,699,0,False,9,False
3362,692,811,702,cond,701,0,False,11,False
3526,692,811,744,cond,743,0,False,53,False
3532,692,811,730,cond,729,0,False,39,False
3625,692,811,721,cond,720,0,False,30,False
3653,692,811,725,cond,724,0,False,34,False
3661,692,811,737,cond,736,0,False,46,False
4147,692,811,695,cond,694,0,False,4,False
4739,692,811,724,cond,723,0,False,33,False
4763,692,811,715,cond,714,0,False,24,False
4968,692,811,706,cond,705,0,False,15,False
4991,692,811,785,cond,784,0,False,94,False
5457,692,811,771,cond,770,0,False,80,False
6269,692,811,694,cond,693,0,False,3,False
6271,692,811,753,cond,752,0,False,62,False
6412,692,811,748,cond,747,0,False,57,False
6414,692,811,693,cond,692,0,False,2,False
6415,692,811,715,cond,714,0,False,24,False
6456,692,811,696,cond,695,0,False,5,False
8039,692,811,708,cond,707,0,False,17,False
8069,692,811,772,cond,771,0,False,81,False
8349,692,811,721,cond,720,0,False,30,False
8404,692,811,736,cond,735,0,False,45,False
1515,714,833,747,cond,746,0,False,34,False
1597,714,833,833,H120,-1,0,False,120,False
1707,714,833,833,H120,-1,0,False,120,False
2027,714,833,833,H120,-1,0,False,120,False
2104,714,833,732,cond,731,0,False,19,False
2303,714,833,722,cond,721,0,False,9,False
2324,714,833,716,cond,715,0,False,3,False
2330,714,833,810,cond,809,0,False,97,False
2344,714,833,731,cond,730,0,False,18,False
2408,714,833,733,cond,732,0,False,20,False
3532,714,833,730,cond,729,0,False,17,False
3666,714,833,737,cond,736,0,False,24,False
3675,714,833,755,cond,754,0,False,42,False
4958,714,833,753,cond,752,0,False,40,False
5285,714,833,809,cond,808,0,False,96,False
5289,714,833,765,cond,764,0,False,52,False
5530,714,833,731,cond,730,0,False,18,False
8155,714,833,833,H120,-1,0,False,120,False
8271,714,833,720,cond,719,0,False,7,False
1101,735,854,854,H120,-1,0,False,120,False
1303,735,854,854,H120,-1,0,False,120,False
1504,735,854,763,cond,762,0,False,29,False
2313,735,854,759,cond,758,0,False,25,False
2392,735,854,753,cond,752,0,False,19,False
2492,735,854,777,cond,776,0,False,43,False
3105,735,854,762,cond,761,0,False,28,False
3374,735,854,767,cond,766,0,False,33,False
3443,735,854,811,cond,810,0,False,77,False
4904,735,854,854,H120,-1,0,False,120,False
4943,735,854,754,cond,753,0,False,20,False
