date,revenue_year,revenue_month,revenue
2024-01-01,2023,12,2208208000
2024-02-01,2024,1,1737854000
2024-03-01,2024,2,1760131000
2024-04-01,2024,3,2192386000
2024-05-01,2024,4,1693477000
2024-06-01,2024,5,2353184000
2024-07-01,2024,6,2673120000
2024-08-01,2024,7,2903133000
2024-09-01,2024,8,1944750000
2024-10-01,2024,9,1763514000
2024-11-01,2024,10,1482729000
2024-12-01,2024,11,1837436000
2025-01-01,2024,12,2702478000
2025-02-01,2025,1,2038665000
2025-03-01,2025,2,2092746000
2025-04-01,2025,3,2892233000
2025-05-01,2025,4,1671800000
2025-06-01,2025,5,2013507000
2025-07-01,2025,6,2419270000
2025-08-01,2025,7,2232812000
2025-09-01,2025,8,2767549000
2025-10-01,2025,9,3612747000
2025-11-01,2025,10,3715719000
2025-12-01,2025,11,3936093000
2026-01-01,2025,12,4747837000
2026-02-01,2026,1,4235842000
2026-03-01,2026,2,3351500000
2026-04-01,2026,3,3860470000
2026-05-01,2026,4,4294033000
2026-06-01,2026,5,4674012000
2026-07-01,2026,6,4928512000
2026-08-01,2026,7,5769170000
