date,revenue_year,revenue_month,revenue
2024-01-01,2023,12,49905503000
2024-02-01,2024,1,47390354000
2024-03-01,2024,2,39751076000
2024-04-01,2024,3,45661425000
2024-05-01,2024,4,45819887000
2024-06-01,2024,5,47492772000
2024-07-01,2024,6,46925404000
2024-08-01,2024,7,51595954000
2024-09-01,2024,8,52929761000
2024-10-01,2024,9,55579391000
2024-11-01,2024,10,56425583000
2024-12-01,2024,11,52933333000
2025-01-01,2024,12,52904645000
2025-02-01,2025,1,49444261000
2025-03-01,2025,2,44960788000
2025-04-01,2025,3,53748213000
2025-05-01,2025,4,52210767000
2025-06-01,2025,5,49026935000
2025-07-01,2025,6,49512621000
2025-08-01,2025,7,51542033000
2025-09-01,2025,8,56465628000
2025-10-01,2025,9,60561227000
2025-11-01,2025,10,60231106000
2025-12-01,2025,11,58819584000
2026-01-01,2025,12,58864547000
2026-02-01,2026,1,59988631000
2026-03-01,2026,2,52096847000
2026-04-01,2026,3,61576674000
2026-05-01,2026,4,62247107000
2026-06-01,2026,5,63033313000
2026-07-01,2026,6,65783102000
2026-08-01,2026,7,73783701000
