date,revenue_year,revenue_month,revenue
2024-01-01,2023,12,1819631000
2024-02-01,2024,1,1948410000
2024-03-01,2024,2,1328509000
2024-04-01,2024,3,1960445000
2024-05-01,2024,4,1875984000
2024-06-01,2024,5,1554892000
2024-07-01,2024,6,1555816000
2024-08-01,2024,7,2275598000
2024-09-01,2024,8,2640943000
2024-10-01,2024,9,2586457000
2024-11-01,2024,10,1974372000
2024-12-01,2024,11,2032150000
2025-01-01,2024,12,1448952000
2025-02-01,2025,1,2038413000
2025-03-01,2025,2,1389856000
2025-04-01,2025,3,1893079000
2025-05-01,2025,4,1854372000
2025-06-01,2025,5,1250699000
2025-07-01,2025,6,1664213000
2025-08-01,2025,7,2383597000
2025-09-01,2025,8,2699823000
2025-10-01,2025,9,2657290000
2025-11-01,2025,10,2256771000
2025-12-01,2025,11,2268741000
2026-01-01,2025,12,2629824000
2026-02-01,2026,1,2514794000
2026-03-01,2026,2,1461282000
2026-04-01,2026,3,2164171000
2026-05-01,2026,4,2314440000
2026-06-01,2026,5,1628911000
2026-07-01,2026,6,1739246000
2026-08-01,2026,7,2422368000
