date,revenue_year,revenue_month,revenue
2024-01-01,2023,12,184556000
2024-02-01,2024,1,223226000
2024-03-01,2024,2,138044000
2024-04-01,2024,3,240301000
2024-05-01,2024,4,235610000
2024-06-01,2024,5,207365000
2024-07-01,2024,6,175622000
2024-08-01,2024,7,163906000
2024-09-01,2024,8,179574000
2024-10-01,2024,9,182628000
2024-11-01,2024,10,207030000
2024-12-01,2024,11,236305000
2025-01-01,2024,12,234595000
2025-02-01,2025,1,286020000
2025-03-01,2025,2,247564000
2025-04-01,2025,3,249371000
2025-05-01,2025,4,248543000
2025-06-01,2025,5,239407000
2025-07-01,2025,6,249640000
2025-08-01,2025,7,271404000
2025-09-01,2025,8,269254000
2025-10-01,2025,9,368315000
2025-11-01,2025,10,405522000
2025-12-01,2025,11,408107000
2026-01-01,2025,12,409071000
2026-02-01,2026,1,444471000
2026-03-01,2026,2,276011000
2026-04-01,2026,3,437865000
2026-05-01,2026,4,414771000
2026-06-01,2026,5,408564000
2026-07-01,2026,6,432643000
2026-08-01,2026,7,524235000
