date,revenue_year,revenue_month,revenue
2024-01-01,2023,12,5618098000
2024-02-01,2024,1,5675421000
2024-03-01,2024,2,4553084000
2024-04-01,2024,3,5080183000
2024-05-01,2024,4,5188203000
2024-06-01,2024,5,5283456000
2024-07-01,2024,6,6012196000
2024-08-01,2024,7,6131081000
2024-09-01,2024,8,6582321000
2024-10-01,2024,9,6351281000
2024-11-01,2024,10,7080952000
2024-12-01,2024,11,7192067000
2025-01-01,2024,12,6631051000
2025-02-01,2025,1,6801065000
2025-03-01,2025,2,8022033000
2025-04-01,2025,3,8509853000
2025-05-01,2025,4,9108166000
2025-06-01,2025,5,9880100000
2025-07-01,2025,6,10606243000
2025-08-01,2025,7,11811435000
2025-09-01,2025,8,12622156000
2025-10-01,2025,9,14503309000
2025-11-01,2025,10,16451489000
2025-12-01,2025,11,17382240000
2026-01-01,2025,12,13941273000
2026-02-01,2026,1,17003457000
2026-03-01,2026,2,14017320000
2026-04-01,2026,3,18017169000
2026-05-01,2026,4,15631449000
2026-06-01,2026,5,15871396000
2026-07-01,2026,6,17618119000
2026-08-01,2026,7,18590152000
