date,revenue_year,revenue_month,revenue
2024-01-01,2023,12,43679986000
2024-02-01,2024,1,44496290000
2024-03-01,2024,2,38481870000
2024-04-01,2024,3,50479987000
2024-05-01,2024,4,42027887000
2024-06-01,2024,5,42151178000
2024-07-01,2024,6,43092056000
2024-08-01,2024,7,45609723000
2024-09-01,2024,8,41527835000
2024-10-01,2024,9,44675936000
2024-11-01,2024,10,51117348000
2024-12-01,2024,11,45242346000
2025-01-01,2024,12,41683430000
2025-02-01,2025,1,51144288000
2025-03-01,2025,2,46171723000
2025-04-01,2025,3,55996226000
2025-05-01,2025,4,48754424000
2025-06-01,2025,5,45180526000
2025-07-01,2025,6,56433621000
2025-08-01,2025,7,43220164000
2025-09-01,2025,8,44546643000
2025-10-01,2025,9,54330057000
2025-11-01,2025,10,52026251000
2025-12-01,2025,11,46895680000
2026-01-01,2025,12,51266079000
2026-02-01,2026,1,46977055000
2026-03-01,2026,2,38954271000
2026-04-01,2026,3,63219184000
2026-05-01,2026,4,46736664000
2026-06-01,2026,5,47434191000
2026-07-01,2026,6,58011756000
2026-08-01,2026,7,48474930000
