date,revenue_year,revenue_month,revenue
2024-01-01,2023,12,275254000
2024-02-01,2024,1,324381000
2024-03-01,2024,2,208116000
2024-04-01,2024,3,265425000
2024-05-01,2024,4,318652000
2024-06-01,2024,5,317148000
2024-07-01,2024,6,364282000
2024-08-01,2024,7,368883000
2024-09-01,2024,8,458849000
2024-10-01,2024,9,381938000
2024-11-01,2024,10,346058000
2024-12-01,2024,11,305752000
2025-01-01,2024,12,343956000
2025-02-01,2025,1,291484000
2025-03-01,2025,2,305442000
2025-04-01,2025,3,416941000
2025-05-01,2025,4,510017000
2025-06-01,2025,5,451116000
2025-07-01,2025,6,526875000
2025-08-01,2025,7,585322000
2025-09-01,2025,8,565664000
2025-10-01,2025,9,636816000
2025-11-01,2025,10,673208000
2025-12-01,2025,11,682097000
2026-01-01,2025,12,935641000
2026-02-01,2026,1,1216032000
2026-03-01,2026,2,933818000
2026-04-01,2026,3,1273121000
2026-05-01,2026,4,948788000
2026-06-01,2026,5,631677000
2026-07-01,2026,6,724767000
2026-08-01,2026,7,922666000
