date,revenue_year,revenue_month,revenue
2024-01-01,2023,12,112394000
2024-02-01,2024,1,151249000
2024-03-01,2024,2,103375000
2024-04-01,2024,3,134700000
2024-05-01,2024,4,141642000
2024-06-01,2024,5,130573000
2024-07-01,2024,6,107124000
2024-08-01,2024,7,124105000
2024-09-01,2024,8,108738000
2024-10-01,2024,9,120123000
2024-11-01,2024,10,123632000
2024-12-01,2024,11,124146000
2025-01-01,2024,12,136517000
2025-02-01,2025,1,139844000
2025-03-01,2025,2,131291000
2025-04-01,2025,3,158470000
2025-05-01,2025,4,177466000
2025-06-01,2025,5,160112000
2025-07-01,2025,6,142365000
2025-08-01,2025,7,134436000
2025-09-01,2025,8,128053000
2025-10-01,2025,9,135640000
2025-11-01,2025,10,142834000
2025-12-01,2025,11,138467000
2026-01-01,2025,12,138963000
2026-02-01,2026,1,165506000
2026-03-01,2026,2,113982000
2026-04-01,2026,3,161550000
2026-05-01,2026,4,167304000
2026-06-01,2026,5,160488000
2026-07-01,2026,6,184909000
2026-08-01,2026,7,217251000
