n_slots,trades,slot_use,expo,tmax,S,T,wk,chosen
8,138,0.8871002592912706,0.8756482052942144,2029,S1,T1,*,261
16,274,0.880671996542783,0.8657026458731962,2029,S1,T1,*,261
32,537,0.8629942739844425,0.8521495662689945,2029,S1,T1,*,261
64,1028,0.8260317631806395,0.824249560399232,2029,S1,T1,*,261
128,1650,0.6629145959377701,0.6738749724025417,2029,S1,T1,*,261
256,2026,0.4069893852636128,0.4164832358012595,2029,S1,T1,*,261
260,2026,0.4007280101057111,0.4103854176001169,2029,S1,T1,*,261
261,2027,0.39938968861866964,0.40902620232361314,2029,S1,T1,*,261
262,2027,0.3978653004941709,0.4076922807918825,2029,S1,T1,*,261
264,2027,0.3948511694298211,0.4046927035413772,2029,S1,T1,*,261
272,2029,0.38361603284356094,0.39362807096032026,2029,S1,T1,*,261
288,2029,0.36230403101891867,0.3724032419422838,2029,S1,T1,*,261
320,2029,0.3260736279170268,0.3361805919391664,2029,S1,T1,*,261
384,2029,0.271728023264189,0.2814917487967281,2029,S1,T1,*,261
512,2029,0.20379601744814174,0.212471229633043,2029,S1,T1,*,261
1024,2029,0.10189800872407087,0.10736205078741204,2029,S1,T1,*,261
2048,2029,0.050949004362035435,0.0539914212124523,2029,S1,T1,*,261
2882,2029,0.03620526055983642,0.038433914022665196,2029,S1,T1,*,261
2,2,0.9953271028037384,0.9953271028037384,4,S1,T0,主格窗,4
3,3,0.9953271028037384,0.9953271028037384,4,S1,T0,主格窗,4
4,4,0.9953271028037384,0.9953271028037384,4,S1,T0,主格窗,4
4,4,0.9991356957649092,0.9995676610462603,8,S1,T0,全窗,8
6,6,0.9991356957649092,0.9995676610462603,8,S1,T0,全窗,8
7,7,0.9991356957649092,0.9995676610462603,8,S1,T0,全窗,8
8,8,0.9991356957649092,0.9995676610462603,8,S1,T0,全窗,8
8,144,0.9122657580919932,0.9112786745688529,11803,S0,T1,*,956
16,288,0.9122657580919932,0.9112325543392842,11803,S0,T1,*,956
32,576,0.9122657580919932,0.9113705144833549,11803,S0,T1,*,956
64,1152,0.9122657580919932,0.9113705144833547,11803,S0,T1,*,956
128,2303,0.9118698094122658,0.9113705144833542,11803,S0,T1,*,956
256,4605,0.911671835072402,0.9113705144833542,11803,S0,T1,*,956
512,8827,0.8737597489885008,0.8794769978291266,11803,S0,T1,*,956
768,11310,0.746363261286201,0.7581123223958097,11803,S0,T1,*,956
896,11744,0.6642887563884157,0.6781082017877925,11803,S0,T1,*,956
928,11770,0.6428022014333549,0.6565780074789702,11803,S0,T1,*,956
944,11779,0.6323904404758467,0.6464765368144376,11803,S0,T1,*,956
952,11785,0.6273956558773425,0.6413247904211056,11803,S0,T1,*,956
954,11784,0.6260272358115565,0.6400204624262629,11803,S0,T1,*,956
